CompoundIndex,Smiles
9717514,COc1ccc(N)cc1C(=O)N1CC2(CC2)C[C@H]1C(=O)N[C@@H](C(=O)O)c1ccc(O)cc1
3333672,CCOC[C@@H](N)C(=O)N[C@H](CC(=O)Nc1cc(OC)ccc1C(=O)O)c1cccs1
7830592,CC(C)(C)SC[C@H](NC(=O)[C@H](C/C=C/c1ccccc1)NC(=O)c1cccc(S(=O)(=O)N2CCNCC2)c1)C(=O)O
7732845,CSCC[C@H](NC(=O)CCC1CCNCC1)C(=O)N1Cc2ccccc2C[C@H]1CC(=O)O
