"lib_id","cycle1","cycle2","cycle3","ctrl_ct","targ_ct","er","er_lb","er_ub"
2,1,1,1,0,5,1.15,0.12,2.97
2,1,1,2,0,1,0.29,0.01,0.59
2,1,1,3,0,8,1.79,0.22,4.74
2,1,1,4,0,9,2,0.25,5.34
