"lib_id","cycle1","cycle2","cycle3","ctrl_ct","targ_ct","er","er_lb","er_ub"
2,1,1,1,0,3,0.6,0.05,1.47
2,1,1,2,0,0,NA,NA,NA
2,1,1,3,0,1,0.24,0,0.49
2,1,1,4,0,6,1.12,0.13,2.94
