CompoundIndex,SMILES,Sample,HitCounts,ZScore
9665069,CS(=O)CC[C@H](N)C(=O)NC1(C(=O)NCC(CC(=O)O)c2ccc(Cl)cc2)CCCCCC1,Sigma-A,183,17.47287761
10881539,N[C@@H](Cc1cccc([N+](=O)[O-])c1)C(=O)NC1(C(=O)NCC(CC(=O)O)c2ccc(Cl)cc2)CCCCCC1,Sigma-A,182,17.37267097
5592776,NC1(C(=O)NC2(C(=O)NCC(CC(=O)O)c3ccc(Cl)cc3)CCCCCC2)COc2ccccc2C1,Sigma-A,169,16.0699847
9506401,O=C(O)CC(CNC(=O)C1(NC(=O)C2NCCS2)CCCCCC1)c1ccc(Cl)cc1,Sigma-A,168,15.96977807
