,CK1a_er,CK1a_inh_er,CK1d_er,CK1d_inh_er
0.0,7.48,8.24,9.04,9.41
0.1,11.05,11.13,13.06,12.93
0.25,11.55,11.64,13.94,13.81
0.5,12.54,12.64,15.12,14.97
0.75,14.04,13.89,17.48,17.3
0.9,15.78,15.65,21.3,20.51
1.0,194.79,91.92,421.89,394.97
