,CK1a_er_lb,CK1a_inh_er_lb,CK1d_er_lb,CK1d_inh_er_lb
0.0,1.07,1.18,1.29,1.34
0.1,1.58,1.59,1.86,1.85
0.25,1.65,1.66,1.99,1.97
0.5,1.8,1.81,2.17,2.15
0.75,2.02,2.0,2.52,2.49
0.9,2.28,2.26,3.08,2.97
1.0,28.75,13.54,62.33,58.35
