A counts,A-inh counts,D counts,D-inh counts,blank counts
3.0,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,10.0
3.0,4.0,4.0,4.0,19.0
5.0,5.0,5.0,7.0,33.0
7.0,8.0,8.0,12.0,61.0
11.0,12.0,12.0,18.0,105.0
19.0,20.0,27.0,31.0,237.0
667.0,2610.0,929.0,900.0,556.0
