CompoundIndex,SMILES,library.name,A Effect Size,A-inh Effect Size,D Effect Size,D-inh Effect Size,blank Effect Size,A counts,A-inh counts,D counts,D-inh counts,blank counts
DEL0001-0001-0001-1058,CNC(=O)CN1CCN(C(C)C)CC1,DEL0001,13.271617167408204,-0.1,11.038287974067414,72.0853160259924,-0.1,3.0,0.0,3.0,15.0,0.0
DEL0006-0001-0118-0294,CNc1cc(Nc2cnc(C)nc2C)nc(N2CCc3nc[nH]c3C2)n1,DEL0006,32.18876443435701,-0.1,48.665241134897705,-0.1,-0.1,2.0,0.0,3.0,0.0,0.0
DEL0005-0001-0025-0267,CNc1nc(Nc2cc(C)ccc2F)cc(N2CCn3ncnc3C2)n1,DEL0005,40.09128127909078,230.98563840737128,61.834999248889936,-0.1,-0.1,2.0,11.0,3.0,0.0,0.0
DEL0001-0001-0197-0971,CNC(=O)c1cccc(Cn2cncn2)c1,DEL0001,21.94474785119326,-0.1,64.49760953845997,-0.1,-0.1,2.0,0.0,7.0,0.0,0.0
