CompoundIndex,SMILES,library.name,A Effect Size,A-inh Effect Size,D Effect Size,D-inh Effect Size,blank Effect Size,A counts,A-inh counts,D counts,D-inh counts,blank counts
DEL0001-0001-0001-1058,CNC(=O)CN1CCN(C(C)C)CC1,DEL0001,13.271617167408204,-0.1,11.038287974067414,72.0853160259924,-0.1,3.0,0.0,3.0,15.0,0.0
DEL0004-0001-0062-0297,CNC(=O)c1cnc(N2Cc3c[nH]nc3C2)nc1F,DEL0004,25.82796061034936,-0.1,27.52662047124513,211.05388313102367,-0.1,2.0,0.0,2.0,15.0,0.0
DEL0006-0001-0334-0056,CNc1cc(Nc2ccc(CN(C)C)cc2)nc(N2CCCC(NC(C)=O)C2)n1,DEL0006,32.18876443435701,-0.1,32.42297150651459,81.62270074297446,-0.1,2.0,0.0,2.0,5.0,0.0
DEL0001-0001-0296-0346,CNC(=O)c1ccc2ccncc2c1,DEL0001,21.94474785119326,-0.1,-0.1,165.19041272167942,-0.1,2.0,0.0,0.0,14.0,0.0
