row idx,bb1.smiles,bb1.id,bb2.smiles,bb2.id,bb3.smiles,bb3.id,library.name,nsynth,blank counts,mol.id,blank Normalized Z,blank Enrichment,product_smiles,product_smiles_full,blank Effect Size,A counts,A Normalized Z,A Enrichment,A Effect Size,A-inh counts,A-inh Normalized Z,A-inh Enrichment,A-inh Effect Size,D counts,D Normalized Z,D Enrichment,D Effect Size,D-inh counts,D-inh Normalized Z,D-inh Enrichment,D-inh Effect Size
0,,1,,1,CC(CCC(=O)O)N1CCCC1,397,DEL0001,full,2.0,DEL0001-0001-0001-0397,0.0543992607905548,77.3,CNC(=O)CCC(C)N1CCCC1,True,12.276766328795889,5.0,0.0713664239125987,101.2,22.26757663453106,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1
1,,1,C1=CN=C(OC2CCNCC2)C=N1,38,CC1=CC(N)=NN1C,204,DEL0005,full,2.0,DEL0005-0001-0038-0204,0.595648115195642,2251.6,CNc1nc(Nc2cc(C)n(C)n2)cc(N2CCC(Oc3cnccn3)CC2)n1,True,67.0758999016093,9.0,0.9592574797532462,3625.4,180.58515058935552,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,2.0,0.2288880777875223,865.8,41.565090349253865
2,,1,C1=CN=C(OC2CCNCC2)C=N1,67,CCC1=NC(C)=C(C(=O)O)O1,490,DEL0004,full,2.0,DEL0004-0001-0067-0490,0.3765693854850673,903.1,CNC(=O)c1cnc(N2CCC(Oc3cnccn3)CC2)nc1F,True,42.452244969520606,6.0,0.4197830128287143,1006.6,77.63829119131067,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1
3,,1,CC(=O)N(C)C1CCNC1,57,CN1C=CC(C(=O)O)=N1,163,DEL0004,full,2.0,DEL0004-0001-0057-0163,0.3765693854850673,903.1,CNC(=O)c1cnc(N2CCC(N(C)C(C)=O)C2)nc1F,True,42.452244969520606,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,4.0,0.3303700197983932,792.4,56.228933649200336
4,,1,CC(=O)NC1=C(B2OC(C)(C)C(C)(C)O2)C=CC=C1,364,CC(=O)NC(CC1=CN=C[NH]1)C(=O)O,83,DEL0001,full,2.0,DEL0001-0001-0364-0083,0.1347048497063034,464.1,CNC(=O)C(Cc1cnc[nH]1)NC(C)=O,True,30.40005119557991,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,10.0,0.4051118315085683,1393.7,117.96894987419395
5,,1,CC(=O)NC1=CC(B(O)O)=CC=C1,301,O=C(O)C1CCN(C2=NC=CN=C2)CC1,932,DEL0001,full,2.0,DEL0001-0001-0301-0932,0.1347048497063034,464.1,CNC(=O)C1CCN(c2cnccn2)CC1,True,30.40005119557991,0.0,-0.01,0.1,-0.1,4.0,0.1438126482456266,495.4,44.42484017476847,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1
6,,1,CC(C)(C)NC(=O)C1=CC(B(O)O)=C(F)C=C1,570,CS(=O)(=O)NC1=CC=C(CC(=O)O)C=C1,324,DEL0001,full,2.0,DEL0001-0001-0570-0324,0.1347048497063034,464.1,CNC(=O)Cc1ccc(NS(C)(=O)=O)cc1,True,30.40005119557991,8.0,0.2821997063023823,971.1,88.05127917482527,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1
7,,1,CC(C)C1=C(B2OC(C)(C)C(C)(C)O2)C=CC=C1,56,CC(CC(F)(F)F)C(=O)O,791,DEL0001,full,2.0,DEL0001-0001-0056-0791,0.1347048497063034,464.1,CNC(=O)C(C)CC(F)(F)F,True,30.40005119557991,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1
8,,1,CC(C)C1=NN(C)C=C1B1OC(C)(C)C(C)(C)O1,81,CC1=C(C(=O)O)C=NC2=CC=NN12,999,DEL0001,full,2.0,DEL0001-0001-0081-0999,0.1347048497063034,464.1,CNC(=O)c1cnc2ccnn2c1C,True,30.40005119557991,0.0,-0.01,0.1,-0.1,0.0,-0.01,0.1,-0.1,5.0,0.1236021317768415,425.9,46.03876420202947,0.0,-0.01,0.1,-0.1
